Source,Target,Date,Preuves,Mea Culpa ?
Donald Trump,Agressions sexuelles,Vie,,
Donny Deutsch,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Doug Liman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Douglas Chabbott,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Dr Dre,Violence ,1990s,https://www.theguardian.com/music/2015/aug/21/dr-dre-apologizes-dee-barnes-michelle-straight-outta-compton,
Dr Luke,Viol,2004,https://www.latimes.com/california/story/2023-08-08/kesha-sebert-dr-luke-allegations-west-hollywood-hotel-night,
Dwayne Johnson,Anti-Palestine (ferait mieux de fermer sa mouille).,10/2023,,
Dwayne Johnson,cf Oprah Winfrey et Hawai,08/2023,,
Eddy Kitsis,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Edgar Ramirez,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Eli Roth,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Élisabeth Borne,Fascisme ,2022-2023,14 49.3 qui détruisent des conquis sociaux,
Elisabeth Shue,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Elizabeth Himelstein,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Elon Musk,Nazisme,Vie,Ses messages sur X,
Embeth Davidtz,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Emma Watson,Siège chez Kéring ,2020-2023,https://www.kering.com/fr/groupe/notre-gouvernance/conseil-d-administration/emma-watson/,
Emmanuel Carrère d’Encausse,Ami avec Renaud Camus,2012,https://www.lesinrocks.com/livres/lettre-demmanuel-carrere-a-renaud-camus-cest-quoi-lamitie-27494-09-02-2012/,
Emmanuel Macron,Défense du Fascisme,2017-…,,
Emmanuel Macron,Destruction service public,-2014,,
Emmanuel Macron,Impérialisme sur les DROM/colonies,2017-…,,
Emmanuelle Chriqui ,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Emmanuelle Seigner,Soutient Polanski,09/2023,,
Enki Bilal,Occidentalisme,2023,https://www.tribunejuive.info/2023/11/21/enki-bilal-loccident-est-en-train-de-seffondrer-sur-lui-meme/,
Eric Andre,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Éric Zemmour,Racisme (condamné plusieurs fois),,,
